HRR,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months",senior_ratio,population_density,hospital_utilization
"Greenville, NC",631.0,1304.0,115.0,227.0,679309.0,136432.0,135862.0,28406.0,6136.0,1894.0,300.0,145.0,96.0,947.0,150.0,73.0,48.0,618.0,98.0,47.0,31.0,409.0,356.0,180.0,121.0,205.0,178.0,90.0,60.0,133.0,116.0,59.0,39.0,0.2008393823723813,343.60596863935257,0.6808295397066262
"Greenville, SC",798.0,1507.0,41.0,161.0,743619.0,153533.0,148724.0,31175.0,6755.0,2078.0,260.0,138.0,94.0,1039.0,130.0,69.0,47.0,678.0,85.0,45.0,31.0,450.0,1098.0,280.0,160.0,225.0,549.0,140.0,80.0,147.0,359.0,91.0,52.0,0.2064672903731615,335.4167794316644,0.6400541271989175
"Gulfport, MS",287.0,448.0,40.0,60.0,159671.0,28559.0,31934.0,6610.0,1411.0,441.0,154.0,98.0,72.0,220.0,77.0,49.0,36.0,144.0,50.0,32.0,24.0,94.0,235.0,157.0,118.0,47.0,118.0,78.0,59.0,31.0,78.0,52.0,39.0,0.1788615340293478,262.1855500821018,0.5287356321839081
"Hackensack, NJ",1057.0,2438.0,98.0,137.0,1048868.0,200075.0,209774.0,43658.0,9379.0,2911.0,275.0,119.0,76.0,1455.0,138.0,60.0,38.0,949.0,90.0,39.0,25.0,625.0,638.0,456.0,357.0,313.0,319.0,228.0,179.0,204.0,208.0,149.0,117.0,0.1907532692388365,274.6446713799424,0.7232259753862267
"Harlingen, TX",536.0,840.0,44.0,82.0,418633.0,76061.0,83727.0,17353.0,3709.0,1157.0,216.0,138.0,101.0,578.0,108.0,69.0,50.0,377.0,70.0,45.0,33.0,247.0,561.0,301.0,206.0,124.0,282.0,151.0,103.0,81.0,184.0,99.0,68.0,0.181688973396746,365.6183406113537,0.531877729257642
"Harrisburg, PA",929.0,1677.0,61.0,136.0,825408.0,183199.0,165082.0,34846.0,7613.0,2323.0,250.0,139.0,96.0,1162.0,125.0,69.0,48.0,758.0,82.0,45.0,31.0,508.0,833.0,374.0,241.0,254.0,416.0,187.0,120.0,166.0,272.0,122.0,79.0,0.2219496297588586,340.2341302555647,0.6170651277823578
"Hartford, CT",751.0,1803.0,115.0,219.0,1196337.0,245503.0,239267.0,50125.0,10853.0,3342.0,445.0,185.0,117.0,1671.0,223.0,93.0,59.0,1090.0,145.0,60.0,38.0,724.0,630.0,331.0,224.0,362.0,315.0,165.0,112.0,236.0,205.0,108.0,73.0,0.2052122437072497,419.0322241681261,0.7369527145359019
"Hattiesburg, MS",504.0,1025.0,30.0,57.0,240419.0,46076.0,48084.0,10011.0,2152.0,667.0,132.0,65.0,43.0,334.0,66.0,33.0,22.0,218.0,43.0,21.0,14.0,143.0,477.0,251.0,168.0,72.0,240.0,126.0,85.0,47.0,157.0,82.0,55.0,0.1916487465632916,155.51034928848642,0.6739974126778784
"Hickory, NC",253.0,428.0,25.0,45.0,229268.0,51364.0,45854.0,9688.0,2119.0,646.0,255.0,151.0,107.0,323.0,128.0,75.0,54.0,211.0,83.0,49.0,35.0,141.0,564.0,313.0,220.0,71.0,284.0,158.0,111.0,46.0,184.0,102.0,72.0,0.2240347540869201,380.212271973466,0.5804311774461028
"Hinsdale, IL",402.0,721.0,89.0,130.0,385733.0,67856.0,77147.0,15947.0,3397.0,1063.0,264.0,147.0,102.0,532.0,132.0,74.0,51.0,347.0,86.0,48.0,33.0,226.0,254.0,174.0,131.0,113.0,127.0,87.0,66.0,74.0,83.0,57.0,43.0,0.1759144278555373,370.5408261287224,0.6138328530259366
"Honolulu, HI",795.0,1709.0,73.0,146.0,1114023.0,238126.0,222805.0,46857.0,10192.0,3124.0,393.0,183.0,119.0,1562.0,196.0,91.0,60.0,1019.0,128.0,60.0,39.0,679.0,930.0,465.0,310.0,340.0,466.0,233.0,155.0,222.0,304.0,152.0,101.0,0.2137532169443539,424.7133053755242,0.6969119329012581
"Houma, LA",399.0,553.0,32.0,49.0,206176.0,37957.0,41235.0,8556.0,1831.0,570.0,143.0,103.0,81.0,285.0,71.0,52.0,40.0,186.0,47.0,34.0,26.0,122.0,381.0,249.0,188.0,61.0,191.0,124.0,94.0,40.0,125.0,82.0,62.0,0.1840999922396399,291.62093352192363,0.4356435643564357
"Houston, TX",5130.0,9596.0,652.0,1221.0,5278689.0,769270.0,1055738.0,215206.0,45055.0,14347.0,280.0,150.0,102.0,7174.0,140.0,75.0,51.0,4678.0,91.0,49.0,33.0,3004.0,461.0,246.0,168.0,1502.0,230.0,123.0,84.0,979.0,150.0,80.0,55.0,0.1457312601670604,375.3867870857631,0.6351870288721377
"Hudson, FL",329.0,758.0,45.0,102.0,351228.0,112737.0,70246.0,15489.0,3553.0,1033.0,314.0,136.0,87.0,516.0,157.0,68.0,43.0,337.0,102.0,44.0,28.0,237.0,527.0,232.0,148.0,118.0,262.0,116.0,74.0,77.0,171.0,75.0,48.0,0.3209795346612457,295.64646464646466,0.7230639730639731
"Huntington, WV",382.0,971.0,64.0,113.0,276340.0,63341.0,55268.0,11704.0,2567.0,780.0,204.0,80.0,50.0,390.0,102.0,40.0,25.0,254.0,66.0,26.0,16.0,171.0,267.0,151.0,106.0,86.0,134.0,76.0,53.0,56.0,88.0,50.0,35.0,0.2292140117246869,177.0275464445868,0.755285073670724
"Huntsville, AL",569.0,1187.0,59.0,154.0,506155.0,100153.0,101231.0,21137.0,4558.0,1409.0,248.0,119.0,78.0,705.0,124.0,59.0,39.0,460.0,81.0,39.0,25.0,304.0,515.0,197.0,123.0,152.0,258.0,99.0,61.0,99.0,168.0,64.0,40.0,0.1978702176210844,280.5737250554324,0.684589800443459
"Idaho Falls, ID",269.0,381.0,24.0,34.0,169856.0,28437.0,33971.0,6995.0,1483.0,466.0,173.0,122.0,95.0,233.0,87.0,61.0,47.0,152.0,57.0,40.0,31.0,99.0,413.0,291.0,225.0,49.0,204.0,144.0,111.0,32.0,133.0,94.0,73.0,0.1674182837226827,345.2357723577236,0.4532520325203252
"Indianapolis, IN",3350.0,5396.0,403.0,742.0,2249394.0,412838.0,449879.0,93321.0,19966.0,6221.0,186.0,115.0,84.0,3111.0,93.0,58.0,42.0,2029.0,61.0,38.0,27.0,1331.0,330.0,179.0,123.0,666.0,165.0,90.0,62.0,434.0,108.0,58.0,40.0,0.1835329871067496,302.2972718720602,0.5497916946646957
"Iowa City, IA",538.0,976.0,64.0,106.0,279218.0,53012.0,55844.0,11618.0,2494.0,775.0,144.0,79.0,55.0,387.0,72.0,40.0,27.0,253.0,47.0,26.0,18.0,166.0,259.0,157.0,113.0,83.0,130.0,78.0,56.0,54.0,84.0,51.0,37.0,0.1898588199901152,197.46676096181048,0.6195190947666196
"Jackson, MS",1964.0,3194.0,149.0,277.0,792834.0,152349.0,158567.0,33022.0,7099.0,2201.0,112.0,69.0,50.0,1101.0,56.0,34.0,25.0,718.0,37.0,22.0,16.0,473.0,317.0,171.0,117.0,237.0,159.0,86.0,58.0,154.0,103.0,56.0,38.0,0.1921575008135372,179.1715254237288,0.5561581920903955
"Jackson, TN",423.0,743.0,57.0,86.0,256100.0,58414.0,51220.0,10842.0,2376.0,723.0,171.0,97.0,68.0,361.0,85.0,49.0,34.0,236.0,56.0,32.0,22.0,158.0,277.0,184.0,137.0,79.0,139.0,92.0,69.0,52.0,91.0,60.0,45.0,0.2280905896134322,240.9219190968956,0.6020696142991533
"Jacksonville, FL",1625.0,3286.0,183.0,400.0,1340118.0,254567.0,268024.0,55761.0,11973.0,3717.0,229.0,113.0,75.0,1859.0,114.0,57.0,38.0,1212.0,75.0,37.0,24.0,798.0,436.0,200.0,129.0,399.0,218.0,100.0,65.0,260.0,142.0,65.0,42.0,0.1899586454327156,270.89508793208006,0.6715180917727916
"Johnson City, TN",342.0,649.0,39.0,66.0,235522.0,51395.0,47104.0,9926.0,2164.0,662.0,194.0,102.0,69.0,331.0,97.0,51.0,35.0,216.0,63.0,33.0,23.0,144.0,369.0,218.0,153.0,72.0,185.0,109.0,77.0,47.0,121.0,71.0,50.0,0.218217406441861,246.36192468619248,0.6422594142259415
"Johnstown, PA",426.0,584.0,25.0,35.0,170816.0,45254.0,34163.0,7351.0,1642.0,490.0,115.0,84.0,66.0,245.0,58.0,42.0,33.0,160.0,38.0,27.0,22.0,109.0,436.0,311.0,248.0,55.0,220.0,157.0,125.0,36.0,144.0,103.0,82.0,0.2649283439490446,230.5209176788124,0.4251012145748988
"Joliet, IL",662.0,1019.0,53.0,101.0,516812.0,90546.0,103362.0,21359.0,4549.0,1424.0,215.0,140.0,103.0,712.0,108.0,70.0,52.0,464.0,70.0,46.0,34.0,303.0,572.0,300.0,203.0,152.0,287.0,150.0,102.0,99.0,187.0,98.0,66.0,0.1752010402235242,375.5901162790698,0.5188953488372092
"Jonesboro, AR",403.0,689.0,23.0,50.0,185969.0,38518.0,37194.0,7799.0,1690.0,520.0,129.0,75.0,53.0,260.0,65.0,38.0,27.0,170.0,42.0,25.0,17.0,113.0,491.0,226.0,149.0,56.0,243.0,112.0,74.0,37.0,161.0,74.0,49.0,0.2071205415956422,190.7374358974359,0.5866666666666667
"Joplin, MO",507.0,776.0,71.0,97.0,282798.0,63826.0,56560.0,11959.0,2618.0,797.0,157.0,103.0,76.0,399.0,79.0,51.0,38.0,260.0,51.0,34.0,25.0,175.0,246.0,180.0,141.0,87.0,123.0,90.0,70.0,57.0,80.0,59.0,46.0,0.2256946654502507,270.6200956937799,0.5148325358851675
"Kalamazoo, MI",681.0,1072.0,21.0,80.0,520196.0,104986.0,104039.0,21762.0,4703.0,1451.0,213.0,135.0,99.0,725.0,106.0,68.0,50.0,473.0,69.0,44.0,32.0,314.0,1495.0,393.0,226.0,157.0,748.0,196.0,113.0,102.0,486.0,128.0,73.0,0.2018200831994094,355.8112175102599,0.5341997264021887
"Kansas City, MO",2646.0,4691.0,286.0,541.0,1950902.0,362250.0,390180.0,81017.0,17355.0,5401.0,204.0,115.0,80.0,2701.0,102.0,58.0,40.0,1761.0,67.0,38.0,26.0,1157.0,405.0,214.0,146.0,578.0,202.0,107.0,73.0,377.0,132.0,70.0,47.0,0.1856833403215538,289.62321852731594,0.607185273159145
"Kettering, OH",412.0,667.0,42.0,90.0,334281.0,73199.0,66856.0,14093.0,3074.0,940.0,228.0,141.0,102.0,470.0,114.0,70.0,51.0,306.0,74.0,46.0,33.0,205.0,488.0,228.0,149.0,102.0,243.0,113.0,74.0,67.0,160.0,74.0,49.0,0.2189744556226647,362.1679306608884,0.5536294691224268
"Kingsport, TN",668.0,1077.0,75.0,130.0,375852.0,93948.0,75170.0,16067.0,3562.0,1071.0,160.0,99.0,72.0,536.0,80.0,50.0,36.0,349.0,52.0,32.0,24.0,237.0,316.0,182.0,128.0,119.0,159.0,92.0,64.0,77.0,103.0,59.0,42.0,0.2499600906739887,253.0989898989899,0.5501683501683502
"Knoxville, TN",1198.0,2195.0,74.0,186.0,1108058.0,250729.0,221612.0,46870.0,10263.0,3125.0,261.0,142.0,98.0,1562.0,130.0,71.0,49.0,1019.0,85.0,46.0,32.0,684.0,924.0,368.0,229.0,342.0,462.0,184.0,114.0,223.0,301.0,120.0,75.0,0.226277866321077,347.0272471030379,0.6248042593172565
"La Crosse, WI",286.0,468.0,44.0,61.0,279590.0,60747.0,55918.0,11779.0,2567.0,785.0,274.0,168.0,121.0,393.0,137.0,84.0,60.0,256.0,90.0,55.0,39.0,171.0,389.0,280.0,219.0,86.0,195.0,141.0,110.0,56.0,127.0,92.0,72.0,0.2172717193032655,430.1384615384615,0.56
"Lafayette, IN",193.0,325.0,14.0,24.0,199535.0,31824.0,39907.0,8187.0,1728.0,546.0,283.0,168.0,119.0,273.0,141.0,84.0,60.0,178.0,92.0,55.0,39.0,115.0,821.0,479.0,338.0,58.0,414.0,242.0,171.0,38.0,271.0,158.0,112.0,0.159490816147543,436.6192560175055,0.5776805251641137
"Lafayette, LA",700.0,1208.0,87.0,137.0,477559.0,85840.0,95512.0,19778.0,4223.0,1319.0,188.0,109.0,77.0,659.0,94.0,55.0,38.0,430.0,61.0,36.0,25.0,282.0,324.0,206.0,150.0,141.0,162.0,103.0,75.0,92.0,106.0,67.0,49.0,0.1797474238785155,278.2977855477856,0.592074592074592
"Lake Charles, LA",424.0,627.0,44.0,62.0,210604.0,37934.0,42121.0,8724.0,1863.0,582.0,137.0,93.0,70.0,291.0,69.0,46.0,35.0,190.0,45.0,30.0,23.0,124.0,282.0,200.0,153.0,62.0,141.0,100.0,77.0,40.0,91.0,65.0,49.0,0.1801200357068242,253.7397590361446,0.4891566265060241
"Lakeland, FL",382.0,714.0,57.0,80.0,317384.0,73118.0,63477.0,13450.0,2951.0,897.0,235.0,126.0,86.0,448.0,117.0,63.0,43.0,292.0,76.0,41.0,28.0,197.0,346.0,246.0,191.0,98.0,172.0,123.0,95.0,64.0,112.0,80.0,62.0,0.2303770826506692,303.4263862332696,0.6347992351816444
"Lancaster, PA",468.0,774.0,40.0,69.0,528715.0,112509.0,105743.0,22229.0,4833.0,1482.0,317.0,191.0,137.0,741.0,158.0,96.0,69.0,483.0,103.0,62.0,45.0,322.0,805.0,467.0,329.0,161.0,403.0,233.0,164.0,105.0,263.0,152.0,107.0,0.212797064581107,489.0980573543016,0.5670675300647549
"Lansing, MI",632.0,1038.0,115.0,177.0,561636.0,102892.0,112327.0,23297.0,4984.0,1553.0,246.0,150.0,108.0,777.0,123.0,75.0,54.0,506.0,80.0,49.0,35.0,332.0,289.0,188.0,138.0,166.0,144.0,94.0,69.0,108.0,94.0,61.0,45.0,0.1832005070900013,388.9445983379501,0.5623268698060941
"Las Vegas, NV",1088.0,2626.0,162.0,462.0,1704994.0,321669.0,340999.0,70902.0,15213.0,4727.0,434.0,180.0,113.0,2363.0,217.0,90.0,57.0,1541.0,142.0,59.0,37.0,1014.0,626.0,219.0,133.0,507.0,313.0,110.0,67.0,331.0,204.0,72.0,43.0,0.1886628340041079,409.3623049219688,0.7387755102040816
"Lawton, OK",346.0,539.0,32.0,54.0,152745.0,28422.0,30549.0,6344.0,1359.0,423.0,122.0,78.0,58.0,211.0,61.0,39.0,29.0,138.0,40.0,26.0,19.0,91.0,284.0,169.0,120.0,45.0,141.0,83.0,59.0,30.0,94.0,56.0,39.0,0.1860748306000196,208.38335607094132,0.5279672578444747
"Lebanon, NH",333.0,636.0,56.0,80.0,320499.0,77792.0,64100.0,13657.0,3016.0,910.0,273.0,143.0,97.0,455.0,137.0,72.0,48.0,297.0,89.0,47.0,32.0,201.0,359.0,251.0,191.0,101.0,180.0,126.0,96.0,66.0,118.0,83.0,63.0,0.2427215061513452,341.3194888178914,0.645367412140575
"Lexington, KY",2073.0,3559.0,172.0,375.0,1192842.0,231348.0,238568.0,49724.0,10700.0,3315.0,160.0,93.0,66.0,1657.0,80.0,47.0,33.0,1081.0,52.0,30.0,21.0,713.0,415.0,190.0,123.0,357.0,208.0,95.0,62.0,233.0,135.0,62.0,40.0,0.1939468932180456,236.4404360753221,0.5890981169474727
"Lincoln, NE",1016.0,1532.0,33.0,75.0,459005.0,93970.0,91801.0,19228.0,4162.0,1282.0,126.0,84.0,63.0,641.0,63.0,42.0,31.0,418.0,41.0,27.0,20.0,277.0,839.0,369.0,239.0,139.0,421.0,185.0,120.0,90.0,273.0,120.0,78.0,0.2047254387207111,224.23302393746943,0.5036638983878847
"Little Rock, AR",2174.0,3514.0,177.0,348.0,1212482.0,258840.0,242496.0,50992.0,11090.0,3399.0,156.0,97.0,70.0,1700.0,78.0,48.0,35.0,1109.0,51.0,32.0,23.0,739.0,418.0,212.0,142.0,370.0,209.0,106.0,71.0,241.0,136.0,69.0,46.0,0.2134794578393741,249.79027606098063,0.5521219612690564
"Longview, TX",98.0,161.0,21.0,33.0,161316.0,33367.0,32263.0,6764.0,1466.0,451.0,460.0,280.0,201.0,225.0,230.0,140.0,100.0,147.0,150.0,91.0,66.0,98.0,467.0,297.0,218.0,49.0,233.0,148.0,109.0,32.0,152.0,97.0,71.0,0.2068424706786679,720.1607142857143,0.5625
"Los Angeles, CA",6594.0,13043.0,942.0,1679.0,7874162.0,1268093.0,1574832.0,323312.0,68296.0,21554.0,327.0,165.0,111.0,10777.0,163.0,83.0,55.0,7029.0,107.0,54.0,36.0,4553.0,483.0,271.0,189.0,2277.0,242.0,136.0,94.0,1485.0,158.0,88.0,61.0,0.1610448197535179,403.9689103221834,0.6617073671249744
"Louisville, KY",1700.0,2931.0,165.0,335.0,1385741.0,271762.0,277148.0,57822.0,12458.0,3855.0,227.0,132.0,93.0,1927.0,113.0,66.0,46.0,1257.0,74.0,43.0,30.0,831.0,504.0,248.0,164.0,415.0,252.0,124.0,82.0,271.0,164.0,81.0,54.0,0.1961131264789019,332.95074483421433,0.5915425276309467
"Lubbock, TX",922.0,1367.0,85.0,191.0,546461.0,91980.0,109292.0,22513.0,4776.0,1501.0,163.0,110.0,83.0,750.0,81.0,55.0,41.0,489.0,53.0,36.0,27.0,318.0,374.0,166.0,107.0,159.0,187.0,83.0,53.0,104.0,122.0,54.0,35.0,0.1683194226120437,301.7454445057979,0.4908890115958034
"Lynchburg, VA",309.0,741.0,20.0,37.0,217344.0,49862.0,43469.0,9206.0,2019.0,614.0,199.0,83.0,52.0,307.0,99.0,41.0,26.0,200.0,65.0,27.0,17.0,135.0,675.0,365.0,245.0,67.0,335.0,181.0,122.0,44.0,220.0,119.0,80.0,0.2294151207302709,185.1311754684838,0.7367972742759796
"Macon, GA",865.0,1580.0,57.0,149.0,568689.0,111226.0,113738.0,23724.0,5110.0,1582.0,183.0,100.0,69.0,791.0,91.0,50.0,34.0,516.0,60.0,33.0,22.0,341.0,598.0,229.0,142.0,170.0,298.0,114.0,71.0,111.0,195.0,74.0,46.0,0.1955831746349938,247.7947712418301,0.6230936819172113
"Madison, WI",838.0,1640.0,121.0,194.0,886932.0,165619.0,177386.0,36850.0,7898.0,2457.0,293.0,150.0,101.0,1228.0,147.0,75.0,50.0,801.0,96.0,49.0,33.0,527.0,436.0,272.0,197.0,263.0,217.0,136.0,99.0,172.0,142.0,89.0,64.0,0.1867324665250549,363.05034793286944,0.6569791240278346
"Manchester, NH",582.0,1092.0,53.0,95.0,714679.0,143594.0,142936.0,29886.0,6456.0,1992.0,342.0,182.0,124.0,996.0,171.0,91.0,62.0,650.0,112.0,60.0,41.0,430.0,811.0,453.0,314.0,215.0,406.0,226.0,157.0,140.0,264.0,147.0,102.0,0.2009209729123144,445.83842794759823,0.636930754834685
"Manhattan, NY",3059.0,8946.0,616.0,1021.0,4173437.0,725342.0,834687.0,172372.0,36678.0,11491.0,376.0,128.0,77.0,5746.0,188.0,64.0,39.0,3747.0,122.0,42.0,25.0,2445.0,397.0,239.0,171.0,1223.0,199.0,120.0,86.0,797.0,129.0,78.0,56.0,0.1737996763818406,281.3426587569098,0.7937845490090333
"Marquette, MI",276.0,438.0,18.0,32.0,159278.0,39415.0,31856.0,6802.0,1506.0,453.0,164.0,103.0,75.0,227.0,82.0,52.0,38.0,148.0,54.0,34.0,25.0,100.0,556.0,313.0,213.0,50.0,278.0,156.0,106.0,33.0,183.0,103.0,70.0,0.2474604151232436,265.0216306156406,0.540765391014975
"Marshfield, WI",281.0,494.0,34.0,51.0,295582.0,70770.0,59116.0,12577.0,2773.0,838.0,298.0,170.0,119.0,419.0,149.0,85.0,59.0,273.0,97.0,55.0,39.0,185.0,544.0,363.0,272.0,92.0,271.0,180.0,135.0,60.0,176.0,118.0,88.0,0.2394259460995595,418.671388101983,0.6019830028328612
"Mason City, IA",239.0,354.0,6.0,12.0,100326.0,26837.0,20065.0,4322.0,967.0,288.0,121.0,81.0,61.0,144.0,60.0,41.0,31.0,94.0,39.0,27.0,20.0,64.0,1067.0,533.0,356.0,32.0,533.0,267.0,178.0,21.0,350.0,175.0,117.0,0.2674979566612842,213.4595744680851,0.4914893617021276
"McAllen, TX",849.0,1394.0,133.0,241.0,486579.0,74033.0,97316.0,19897.0,4181.0,1326.0,156.0,95.0,68.0,663.0,78.0,48.0,34.0,433.0,51.0,31.0,22.0,279.0,210.0,116.0,80.0,139.0,105.0,58.0,40.0,91.0,68.0,38.0,26.0,0.1521500105840983,251.07275541795664,0.5619195046439629
"Medford, OR",369.0,612.0,25.0,49.0,351154.0,95565.0,70231.0,15160.0,3398.0,1011.0,274.0,165.0,118.0,505.0,137.0,83.0,59.0,330.0,89.0,54.0,39.0,227.0,908.0,463.0,315.0,113.0,452.0,231.0,157.0,74.0,296.0,151.0,103.0,0.2721455543721558,410.706432748538,0.5684210526315789
"Melrose Park, IL",1122.0,2012.0,137.0,236.0,1031510.0,185204.0,206302.0,42716.0,9119.0,2848.0,254.0,142.0,98.0,1424.0,127.0,71.0,49.0,929.0,83.0,46.0,32.0,608.0,444.0,258.0,182.0,304.0,222.0,129.0,91.0,198.0,145.0,84.0,59.0,0.1795464900970422,355.447966919366,0.6133700895933838
"Memphis, TN",2045.0,3549.0,139.0,341.0,1366198.0,246308.0,273240.0,56595.0,12087.0,3773.0,184.0,106.0,75.0,1886.0,92.0,53.0,37.0,1230.0,60.0,35.0,24.0,806.0,580.0,236.0,148.0,403.0,290.0,118.0,74.0,263.0,189.0,77.0,48.0,0.1802871911684836,270.3201424614167,0.5953700039572616
"Meridian, MS",445.0,781.0,19.0,38.0,148060.0,32340.0,29612.0,6241.0,1361.0,416.0,93.0,53.0,37.0,208.0,47.0,27.0,19.0,136.0,31.0,17.0,12.0,91.0,479.0,239.0,160.0,45.0,237.0,118.0,79.0,30.0,158.0,79.0,53.0,0.2184249628528974,132.5514771709937,0.6016114592658908
"Mesa, AZ",648.0,1370.0,108.0,200.0,1135619.0,212738.0,227124.0,47196.0,10119.0,3146.0,485.0,230.0,150.0,1573.0,243.0,115.0,75.0,1026.0,158.0,75.0,49.0,675.0,625.0,338.0,232.0,337.0,312.0,169.0,116.0,220.0,204.0,110.0,76.0,0.1873321950407663,543.0985174557628,0.6901004304160689
"Metairie, LA",406.0,631.0,44.0,78.0,366346.0,76217.0,73269.0,15369.0,3333.0,1025.0,252.0,162.0,120.0,512.0,126.0,81.0,60.0,334.0,82.0,53.0,39.0,222.0,505.0,285.0,200.0,111.0,252.0,142.0,100.0,72.0,164.0,92.0,65.0,0.2080464915680804,427.4749124854142,0.5262543757292882
"Miami, FL",2952.0,6045.0,280.0,630.0,2741481.0,526396.0,548296.0,114178.0,24544.0,7612.0,258.0,126.0,83.0,3806.0,129.0,63.0,42.0,2482.0,84.0,41.0,27.0,1636.0,584.0,260.0,167.0,818.0,292.0,130.0,83.0,534.0,191.0,85.0,54.0,0.1920115441252374,299.97603676551046,0.6769887296203085
"Milwaukee, WI",2207.0,3735.0,323.0,570.0,2079205.0,380644.0,415841.0,86242.0,18447.0,5749.0,260.0,154.0,109.0,2875.0,130.0,77.0,55.0,1875.0,85.0,50.0,36.0,1230.0,381.0,216.0,150.0,615.0,190.0,108.0,75.0,401.0,124.0,70.0,49.0,0.1830718952676624,395.0608018240548,0.5806574197225917
"Minneapolis, MN",2458.0,4706.0,238.0,425.0,2570355.0,478271.0,514071.0,106761.0,22874.0,7117.0,290.0,151.0,102.0,3559.0,145.0,76.0,51.0,2321.0,94.0,49.0,33.0,1525.0,641.0,359.0,249.0,762.0,320.0,179.0,125.0,497.0,209.0,117.0,81.0,0.186071962822256,369.6225194132873,0.6465343687086569
"Minot, ND",384.0,650.0,9.0,14.0,112434.0,19303.0,22487.0,4639.0,986.0,309.0,80.0,48.0,34.0,155.0,40.0,24.0,17.0,101.0,26.0,16.0,11.0,66.0,733.0,471.0,347.0,33.0,367.0,236.0,174.0,21.0,233.0,150.0,111.0,0.1716829428820463,122.74454148471617,0.5807860262008734
"Missoula, MT",455.0,729.0,39.0,59.0,315091.0,74302.0,63018.0,13385.0,2946.0,892.0,196.0,122.0,89.0,446.0,98.0,61.0,45.0,291.0,64.0,40.0,29.0,196.0,503.0,332.0,248.0,98.0,251.0,166.0,124.0,64.0,164.0,108.0,81.0,0.2358112418317248,314.4620758483034,0.5459081836327345
"Mobile, AL",695.0,1380.0,101.0,191.0,648957.0,135227.0,129791.0,27230.0,5906.0,1815.0,261.0,132.0,88.0,908.0,131.0,66.0,44.0,592.0,85.0,43.0,29.0,394.0,390.0,206.0,140.0,197.0,195.0,103.0,70.0,128.0,127.0,67.0,45.0,0.2083759016390916,314.1127783155857,0.6636011616650532
"Modesto, CA",467.0,972.0,44.0,81.0,680976.0,119559.0,136195.0,28149.0,5996.0,1877.0,402.0,193.0,127.0,938.0,201.0,97.0,63.0,612.0,131.0,63.0,41.0,400.0,909.0,494.0,339.0,200.0,455.0,247.0,169.0,130.0,295.0,160.0,110.0,0.1755700641432297,460.74154262516913,0.6840324763193505
"Monroe, LA",561.0,813.0,36.0,69.0,204787.0,41070.0,40957.0,8562.0,1849.0,571.0,102.0,70.0,54.0,285.0,51.0,35.0,27.0,186.0,33.0,23.0,17.0,123.0,342.0,178.0,121.0,62.0,172.0,90.0,61.0,40.0,111.0,58.0,39.0,0.200549839589427,192.468984962406,0.4727443609022557
"Montgomery, AL",461.0,843.0,61.0,96.0,360863.0,68023.0,72173.0,15005.0,3219.0,1000.0,217.0,119.0,82.0,500.0,108.0,59.0,41.0,326.0,71.0,39.0,27.0,215.0,352.0,224.0,164.0,107.0,175.0,111.0,82.0,70.0,115.0,73.0,53.0,0.188500899233227,294.5820408163265,0.623673469387755
"Morgantown, WV",499.0,1027.0,40.0,97.0,329288.0,68760.0,65858.0,13819.0,2998.0,921.0,185.0,90.0,59.0,461.0,92.0,45.0,30.0,300.0,60.0,29.0,19.0,200.0,500.0,206.0,129.0,100.0,250.0,103.0,65.0,65.0,163.0,67.0,42.0,0.2088141687519739,211.7607717041801,0.6790996784565917
"Morristown, NJ",589.0,1226.0,54.0,101.0,795142.0,157620.0,159028.0,33210.0,7163.0,2214.0,376.0,181.0,119.0,1107.0,188.0,90.0,59.0,722.0,123.0,59.0,39.0,478.0,885.0,473.0,325.0,239.0,443.0,237.0,163.0,156.0,289.0,154.0,106.0,0.1982287440482329,427.0365198711064,0.6836734693877551
"Muncie, IN",129.0,253.0,8.0,22.0,128803.0,27663.0,25761.0,5420.0,1180.0,361.0,280.0,143.0,96.0,181.0,140.0,72.0,48.0,118.0,91.0,47.0,31.0,79.0,988.0,359.0,219.0,39.0,488.0,177.0,108.0,26.0,325.0,118.0,72.0,0.2147698423173373,341.6525198938992,0.6578249336870027
